peserta_id,gelombang_nama,pekerjaan_ayah,skor_pekerjaan_ayah,penghasilan_ayah,skor_penghasilan_ayah,pendidikan_ayah,status_hidup_ayah,pekerjaan_ibu,skor_pekerjaan_ibu,penghasilan_ibu,skor_penghasilan_ibu,pendidikan_ibu,status_hidup_ibu,jumlah_tanggungan_ortu,jenis_ukt,nilai_ukt
1,SNBP,BURUH,1,1.500.001 - 2.000.000,4,,hidup,TIDAK ADA,0,0,0,,hidup,4,3,2000000
2,SNBP,SWASTA,3,1.500.001 - 2.000.000,4,,hidup,TIDAK ADA,0,0,0,,hidup,2,3,2000000
3,SNBP,WIRASWASTA,2,500.000 atau kurang,1,,hidup,TIDAK ADA,0,0,0,,hidup,2,3,2000000
4,SNBP,SWASTA,3,1.000.001 - 1.500.000,3,,hidup,TIDAK ADA,0,500.001 - 1.000.000,2,,hidup,2,1,500000
5,SNBP,WIRASWASTA,2,4.000.001 - 5.000.000,8,,hidup,TIDAK ADA,0,0,0,,hidup,3,3,2000000
6,SNBP,PENSIUNAN,4,500.000 atau kurang,1,,hidup,TIDAK ADA,0,0,0,,hidup,3,4,2750000
11,SNBP,SWASTA,3,2.500.001 - 3.000.000,6,,hidup,TIDAK ADA,0,0,0,,hidup,3,4,2750000
14,SNBP,SWASTA,3,2.500.001 - 3.000.000,6,,hidup,TIDAK ADA,0,0,0,,hidup,2,3,2000000
15,SNBP,TANI,2,1.000.001 - 1.500.000,3,,hidup,TANI,2,0,0,,hidup,4,3,2000000
16,SNBP,WIRASWASTA,2,500.001 - 1.000.000,2,,hidup,TIDAK ADA,0,500.000 atau kurang,1,,hidup,5,3,2000000
17,SNBP,TIDAK ADA,0,0,0,,hidup,TIDAK ADA,0,500.001 - 1.000.000,2,,hidup,2,1,500000
18,SNBP,PNS,5,4.000.001 - 5.000.000,8,,hidup,PNS,5,2.500.001 - 3.000.000,6,,hidup,2,5,3250000
20,SNBP,PNS,5,3.000.001 - 4.000.000,7,,hidup,TIDAK ADA,0,0,0,,hidup,4,5,3250000
25,SNBP,SWASTA,3,1.500.001 - 2.000.000,4,,hidup,TIDAK ADA,0,0,0,,meninggal,1,3,2000000
26,SNBP,BURUH,1,2.000.001 - 2.500.000,5,,hidup,TIDAK ADA,0,0,0,,hidup,4,3,2000000
28,SNBP,TIDAK ADA,0,0,0,,meninggal,TIDAK ADA,0,0,0,,hidup,3,2,1000000
29,SNBP,TIDAK ADA,0,0,0,,meninggal,SWASTA,3,1.000.001 - 1.500.000,3,,hidup,1,3,2000000
30,SNBP,TIDAK ADA,0,1.500.001 - 2.000.000,4,,hidup,TIDAK ADA,0,500.000 atau kurang,1,,hidup,2,3,2000000
32,SNBP,NELAYAN,1,500.000 atau kurang,1,,hidup,TIDAK ADA,0,0,0,,hidup,1,3,2000000
33,SNBP,SWASTA,3,500.000 atau kurang,1,,hidup,TIDAK ADA,0,0,0,,hidup,,3,2000000
34,SNBP,WIRASWASTA,2,500.001 - 1.000.000,2,,hidup,TIDAK ADA,0,0,0,,hidup,2,3,2000000
40,SNBP,WIRASWASTA,2,500.001 - 1.000.000,2,,hidup,TIDAK ADA,0,0,0,,hidup,4,3,2000000
41,SNBP,SWASTA,3,500.001 - 1.000.000,2,,hidup,TIDAK ADA,0,0,0,,hidup,3,3,2000000
43,SNBP,TANI,2,1.500.001 - 2.000.000,4,,hidup,TIDAK ADA,0,0,0,,hidup,4,3,2000000
44,SNBP,BURUH,1,500.001 - 1.000.000,2,,hidup,TIDAK ADA,0,0,0,,hidup,3,3,2000000
45,SNBP,WIRASWASTA,2,500.001 - 1.000.000,2,,hidup,WIRASWASTA,2,500.000 atau kurang,1,,hidup,2,3,2000000
47,SNBP,BURUH,1,1.500.001 - 2.000.000,4,,hidup,TIDAK ADA,0,0,0,,hidup,3,6,3750000
48,SNBP,WIRASWASTA,2,1.500.001 - 2.000.000,4,,hidup,TIDAK ADA,0,0,0,,hidup,3,4,2750000
49,SNBP,WIRASWASTA,2,1.500.001 - 2.000.000,4,,hidup,TIDAK ADA,0,0,0,,hidup,3,4,2750000
51,SNBP,WIRASWASTA,2,2.000.001 - 2.500.000,5,,hidup,WIRASWASTA,2,2.000.001 - 2.500.000,5,,hidup,4,4,2750000
54,SNBP,TANI,2,500.001 - 1.000.000,2,,hidup,TANI,2,500.000 atau kurang,1,,hidup,3,3,2000000
58,SNBP,TIDAK ADA,0,0,0,,meninggal,TIDAK ADA,0,1.000.001 - 1.500.000,3,,hidup,1,1,500000
59,SNBP,NELAYAN,1,500.000 atau kurang,1,,hidup,TIDAK ADA,0,0,0,,hidup,3,4,2750000
60,SNBP,NELAYAN,1,500.001 - 1.000.000,2,,hidup,TIDAK ADA,0,0,0,,hidup,3,4,2750000
61,SNBP,TIDAK ADA,0,0,0,,hidup,TIDAK ADA,0,0,0,,hidup,2,1,500000
62,SNBP,BURUH,1,500.001 - 1.000.000,2,,hidup,TIDAK ADA,0,0,0,,hidup,3,4,2750000
64,SNBP,SWASTA,3,1.500.001 - 2.000.000,4,,hidup,TIDAK ADA,0,0,0,,hidup,4,4,2750000
65,SNBP,BURUH,1,1.000.001 - 1.500.000,3,,hidup,TIDAK ADA,0,500.000 atau kurang,1,,hidup,4,4,2750000
68,SNBP,TNI,5,500.000 atau kurang,1,,hidup,TIDAK ADA,0,500.000 atau kurang,1,,hidup,4,4,2750000
70,SNBP,SWASTA,3,2.000.001 - 2.500.000,5,,hidup,TIDAK ADA,0,500.000 atau kurang,1,,hidup,2,3,2000000
71,SNBP,WIRASWASTA,2,2.000.001 - 2.500.000,5,,hidup,TIDAK ADA,0,0,0,,hidup,5,4,2750000
72,SNBP,PNS,5,3.000.001 - 4.000.000,7,,hidup,PNS,5,3.000.001 - 4.000.000,7,,hidup,2,7,4000000
75,SNBP,SWASTA,3,2.500.001 - 3.000.000,6,,hidup,TIDAK ADA,0,0,0,,hidup,2,6,3750000
77,SNBP,BURUH,1,500.001 - 1.000.000,2,,hidup,TIDAK ADA,0,500.000 atau kurang,1,,hidup,3,4,2750000
79,SNBP,SWASTA,3,2.500.001 - 3.000.000,6,,hidup,TIDAK ADA,0,0,0,,hidup,4,4,2750000
80,SNBP,PENSIUNAN,4,2.500.001 - 3.000.000,6,,hidup,PENSIUNAN,4,2.500.001 - 3.000.000,6,,hidup,3,6,3750000
81,SNBP,BURUH,1,1.000.001 - 1.500.000,3,,hidup,TIDAK ADA,0,0,0,,hidup,7,4,2750000
82,SNBP,TANI,2,500.001 - 1.000.000,2,,hidup,TIDAK ADA,0,0,0,,hidup,2,4,2750000
84,SNBP,TANI,2,500.001 - 1.000.000,2,,hidup,TANI,2,500.000 atau kurang,1,,hidup,2,4,2750000
85,SNBP,WIRASWASTA,2,1.000.001 - 1.500.000,3,,hidup,TIDAK ADA,0,0,0,,hidup,3,4,2750000
87,SNBP,NELAYAN,1,500.000 atau kurang,1,,hidup,TIDAK ADA,0,0,0,,hidup,4,4,2750000
91,SNBP,WIRASWASTA,2,1.500.001 - 2.000.000,4,,hidup,TIDAK ADA,0,500.000 atau kurang,1,,hidup,2000000,4,2750000
92,SNBP,PNS,5,3.000.001 - 4.000.000,7,,hidup,PNS,5,3.000.001 - 4.000.000,7,,hidup,1,7,4000000
94,SNBP,WIRASWASTA,2,500.001 - 1.000.000,2,,hidup,WIRASWASTA,2,500.001 - 1.000.000,2,,hidup,2,6,3750000
96,SNBP,TANI,2,500.000 atau kurang,1,,hidup,TANI,2,500.000 atau kurang,1,,hidup,2,4,2750000
